,content
2911,　　“运营商世界网自带运营商DNA，有着其他门户和TMT网站难以比拟的业界背景，这为其在打造自身品牌过程中的独有优势，可以真正做到把控行业动向。”康钊如此表示。
2912,　　乾通嗖嗖绩效管理重细节 产品不断优化提升用户体验
2913,　　管理提升，细节决定成败。对于致力于服务中小企业的移动绩效管理专家乾通嗖嗖而言，无论是每月至少一次的产品版本迭代更新、还是全天24小时一对一在线服务，都是一步步从细节做起、从能带给每一位企业用户良好的体验角度出发。移动绩效管理，是属于HR SaaS云服务领域的，简单的说，就是通过一款高效的移动应用软件来规范企业外勤人员的行为使之管理系统化、流程化，帮助其创造更大的价值。乾通嗖嗖自2015年8月上线运营这一年半以来，一直在功能细节上“一点一滴”进行完善，力争让用户体验更便捷流畅。
2914,　　乾通嗖嗖的“工作轨迹”和“智能报表”是企业用户使用频率比较高的两个基础功能，“工作轨迹”可以对外勤员工进行实时定位，无论是外出拜访客户还是异地出差办公，都能显示真实的工作路线，如果遇到手机没电或者APP关闭会提示行动轨迹异常。“智能报表”能将录入的数据以图表类型清晰直观的展现出来，并通过系统内置的算法的智能分析，帮助企业管理者和使用者作出有效的决策，可以说，乾通嗖嗖并不仅仅是一个工具，而是能让企业在使用过程中掌握一套系统的管理行为模式，快速提升企业效益。
2915,　　当下，大部分中小企业管理的重心都是放在“客户管理”上，作为乾通嗖嗖的核心功能“客户”管理，从初级的客户基本信息记录保存到中高级的客户拜访维护都有涵盖，这得益于每一次产品升级更新都有不定期实时收集客户使用建议。乾通嗖嗖非常注重客户对产品意见的反馈。通过了解客户的感受和后台数据的整理和统计，乾通嗖嗖产品设计人员发现了不少在产品升级中值得细化的功能，并及时的在新版本中优化体现。比如之前的“客户”管理中“拍照”功能初期只是上传所拍的图片，不能做到识别图片信息的真实准确性，特别是在拜访客户过程中，并没有办法衡量照片真伪来记录拜访客户的效果好不好，这就导致了“客户”管理的拜访客户质量无法保障，而一个简单的“照片加水印”功能优化，有效的解决了拜访客户质量无法真实评估的问题。“照片加水印”默认的基础参数细致的包括有拍照者姓名、拍照时间年月日分钟、拍照定位地点从国家省市县具体到对应的街道，而对于有巡店需求会拍摄大量照片的企业用户，乾通嗖嗖还很贴心的设置了通用功能可以一次性上传八张照片，兼可以选择“仅用WiFi上传图片”的省流量模式。
2916,　　正是这样一种重视客户反馈和对产品“细节”坚持的品格，让乾通嗖嗖不放过任何一个可以改进提升的空间，一个小小的细节的改变，让用户体验更快速流畅。而用这种态度和韧劲打磨出的产品，让大家对即将上线的乾通嗖嗖新版本3.0更是期待了！
2917,　　■本报见习记者 谢若琳
2918,　　历时一年半，“脉脉抓取微博用户信息”的案件终于等来了终审宣判，根据判决，脉脉旗下两家公司应共同在脉脉网站首页、脉脉客户端软件首页连续48小时刊登声明，不正当竞争行为为微博公司消除影响，并赔偿微博公司200万元。
2919,　　2013年，脉脉上线，产品定位职场社交应用。发展初期，抓取了微博的用户数据，帮助平台业务扩展。2014年8月份开始，微博方面发现在脉脉产品内，大量非脉脉用户直接显示有新浪微博用户头像、名称、职业和教育等信息。简单来说，你可能从未通过微博登录脉脉，但在脉脉上，用户能够直接搜索到你的上述信息。
2920,　　在此之前，微博和脉脉一直有合作，用户可以通过微博账号和个人手机号注册登录脉脉，用户注册时还要向脉脉上传个人手机通讯录联系人。但在上述事件发生后，双方终止合作，微博也据此向脉脉提起诉讼，认为被告非法抓取、使用微博用户信息等。
2921,　　2016年4月份，北京市海淀区人民法院一审结案，认定脉脉非法抓取、使用新浪微博用户信息等行为构成不正当竞争。随后，脉脉提起上诉。2016年12月30日，北京知识产权法院做出终审判决，驳回上诉维持原判，认定北京淘友天下技术有限公司和北京淘友天下科技发展有限公司(均为脉脉的经营公司)构成不正当竞争。
2922,　　近日，法院判决书正式下发。根据判决，上述两家公司应共同在脉脉网站首页、脉脉客户端软件首页连续48小时刊登声明，就本案不正当竞争行为为微博公司消除影响，并赔偿微博公司200万元。
2923,　　1月11日，北京市知识产权法院在其官方微信发表文章，称该案件对于类似情况案件的事实认定及法律适用具有典型指导意义。
2924,　　合达律师事务所谢少赟律师在接受《证券日报》记者采访时表示：“对于微博、脉脉等社交媒体来讲，用户资源属于核心资产，往往是在长期的经营推广过程中形成的，在未征得同意的情况，通过代码随意抓取，显然构成不正当竞争行为。由此可以瞥见大数据立法的困难在于，如何在数据共享和知识产权、隐私权等保护等方面取得平衡，具体而言，我们认为可以从数据类型、获取方式、授权、用途及使用方式等各个方面进行细化规制，对于一些公益性的用途，也可以适当设置豁免。”
2925,　　孩子们每天都做了什么事情？去了哪里？交了哪些新朋友？遇到了什么有趣的事？这是每个父母都关心的话题，但是由于工作繁忙等原因，很多父母并没有充裕的时间来陪伴孩子的成长。
2926,　　近日BTV《晚间新闻》栏目报道，360儿童手表依托数百万用户的数据采集分析，发布了“儿童成长状况大数据”，从儿童通话频次、通话习惯、运动习惯、交友情况、兴趣爱好等角度，对全国各地孩子们的生活成长做了全面解读。
2927,
2928,图1:360儿童手表发布“儿童成长状况大数据”
2929,　　360青少年网络安全教育工程特聘专家裴智勇博士在采访中表示：“360儿童手表可以帮助解决儿童出行的安全问题，不仅仅是帮助家长知道孩子什么时候丢了，并去把他找回来，更多的是通过日常关注，可以了解孩子可能去了哪里，是不是去了有危险的地方，是不是做了有危险的事，实际上就把这种危险扼杀在萌芽里了。”
2930,　　大数据显示，妈妈与孩子的互动频率更高，在通过360儿童手表进行的通话中，妈妈与孩子主动通话占比达到了55.9%，超过了包括父亲在内的其他家庭成员总和；周一与周五，孩子利用360儿童手表发出SOS警报数量占比较高，每天早晚上下学和午休期间也是警报高发期，需要家长特别留意；北京与上海的孩子们周末大部分时间被各类培训班所占据；在孩子们利用360儿童手表提出的问题中，自然科学类问题最受关注。
2931,　　360儿童手表是一款针对儿童与家长设计的软硬件结合的产品，通过佩戴在孩子手腕，以及配套手机APP连接，实现与手表轻松关联。2016年，360儿童手表的全年总销量达到了182万台，累计总销量超过400万台，在全网销量榜上排名居首，无论在市场占有率还是用户规模方面，均位居行业第一。截至目前，360儿童手表累计守护儿童总里程高达23.8亿公里，实现语音微聊1.7亿次，完成智能问答5000万次。
2932,　　儿童的成长越来越重视全面发展，除了最基本的安全保障外，兴趣培养、身体锻炼、亲子沟通、学习能力以及人际交往也备受重视。不过，如果说孩子们的人际交往能力受到星座的影响，这个结论你相信吗？
2933,　　近日，360儿童手表发布的“儿童成长状况大数据”显示，天蝎座宝宝从小就是人气王，好朋友数量最多，而处女座的宝宝相对而言就比较内向傲娇，好朋友也比较少了。
2934,　　整体来看，除了天蝎座宝宝最爱交朋友外，射手、双子和白羊座的孩子社交能力也不错；而除了处女座，狮子和水瓶座儿童的朋友数量也相对较少。看来在培养孩子社交能力的时候，家长们也要适当留意一下自己孩子的星座了。
2935,
2936,图1: 不同星座儿童拥有的手表好友数量
2937,　　大数据还详细列出了孩子在0-14岁不同年龄段中异性好友的占比，可以发现男孩异性好友的占比要远高于女孩。此外，从3岁起，男孩对异性好友的关注就开始大幅降低，而女孩则从5岁开始，表现为异性好友占比的持续下降。但有趣的是，从9-10岁开始，随着对性别差异认知的逐渐清晰，以及自我意识和独立个性的树立，孩子们慢慢开始学会划分自己的朋友圈子，异性朋友数量也开始触底反弹，出现逐年递增的趋势，其中男孩的增长速度尤为明显。
2938,
2939,图2: 不同年龄男孩、女孩异性好友比例
2940,　　360儿童手表是一款针对儿童与家长设计的软硬件结合的产品，通过佩戴在孩子手腕，以及配套手机APP连接，实现与手表轻松关联。360巴迪龙儿童手表5S更是具有六重定位、智能问答、视频通话、快速充电、乖宝萌拍、语音微聊、快速充电等功能，受到小朋友和家长的喜爱。
2941,　　据最新统计，作为儿童手表行业的开拓者，2016年，360儿童手表的总销量达到了182万台，在同类产品的全网销量榜上排名第一，成为陪伴孩子成长的重要伙伴。360儿童卫士APP也成为了面向全国5-12岁儿童的最大亲子社区。
2942,　　截至目前，360儿童手表累计守护儿童总里程高达23.8亿公里，相当于在地球和月球间往返3100次的距离。实现语音微聊1.7亿次，累计通话时长超过175亿秒，完成智能问答5000万次，陪伴着百万儿童的成长。
2943,　　女性在逐渐掌握中国互联网的主导权？“屌丝”已“死”？这些话绝不是耸人听闻。据统计，微博用户中67%为女性用户，微信公众“新世相”有60%-70%的用户为女性。阿里巴巴数据也显示，女性贡献了在线电商销售额的70%。从整个互联网环境来看，女性的存在感越来越强，甚至大有引领舆论导向的势头。例如TFBOYS队长王俊凯原创微博的转发量均在200万以上，频上热门，而参与者几乎都为女性。
2944,　　近日，国内最大的安卓应用商店360手机助手发布了“2016年度嗨APP全民榜”最终榜单，也再次印证了女性在互联网中的风向标作用。据悉，此次榜单基于360手机助手大数据并结合用户评选而成，涵盖通讯社交、音乐、短视频、直播、游戏、电商、出行、生活服务等共21个APP类别，最终评选出每个类别的TOP5。从最终榜单来看，不少女性青睐的APP脱颖而出，这能够代表2016年手机应用市场的变化和重点，彰显了女性在互联网中越来越重要的地位。
2945,
2946,　　以短视频、直播、跨境电商、摄影美图、运动健康等分类为例，这都是近年来迅速兴起的休闲娱乐类领域，而其中女性用户占据了相当分量。在摄影美图类分类中，美图秀秀、天天P图、相机_360、Faceu激萌、in成为“最嗨的”前五个APP，均为女性喜爱的自拍类美图APP。再看跨境电商分类APP，也基本以女性用户为主；艾瑞数据也显示，2016年73.6%中国海淘用户为女性。
2947,
2948,　　此外，360手机助手还根据不同年龄、性别和身份的用户群体，评选出女性、儿童、学生、白领、商务人士、精英人群等6个群体的十佳新锐榜榜单，不同身份的用户都能从这个榜单中找到自己经常使用的APP。其中，女性群体就有一个专门的榜单。对于女性群体来说，该榜单不仅为其评选出专属自己这一群体的APP榜单，且在其他用户群体子榜单中，受女性偏爱的APP也不在少数。例如学生人群最嗨APP榜单中就有B612、哔哩哔哩动画、爱豆等APP，均以女性用户为主；白领人群最嗨APP榜单中回家吃饭、闲鱼等APP也更受女性青睐。这正从侧面印证了女性在手机应用乃至整个互联网中不可忽略的影响力。
2949,
2950,　　据艾瑞、艾媒、TalkingData等第三方权威调查机构相继发布的数据显示，360手机助手的用户活跃率长期稳居行业第一。360手机助手拥有8亿用户，一直以来只为用户提供更到位的手机应用服务。此次发动广大用户票选出的“嗨APP全民榜”也极具参考价值，不仅直接反映了用户需求，且有利于业界人士把控行业现状，并及时预估行业动向。
2951,　　通过大数据分析对行业新方向、用户新需求的把握，360手机助手最新版本7.0版也已于近日正式上线。全新版本的360手机助手更加注重用户体验，一一满足了不同年龄、性别用户的个性化需求，通过应用推荐模式切中用户痛点需求，成为更多用户的贴心选择。
2952,　　东莞市亿海电子有限公司总经理   陈镇江
2953,　　秘书长
2954,　　深圳市索宝数码科技有限公司总经理敖伟诺
2955,"　　,中新网,1月16日电  徐玉玉被骗猝死案等年轻受害者的悲剧激起公愤，网络诈骗正在成为人们财产和人身安全面临的严重威胁。1月16日，由公安机关与360安全中心联合发起的猎网平台发布《2016年网络诈骗趋势研究报告》，全面揭示了目前流行的网络诈骗手段和防范技巧。"
2956,　　报告显示，根据猎网平台收到的网络诈骗受害者举报线索统计，2016年网络诈骗对受害者造成的人均损失达到9471元，男性受害者占比73.6%，手机“补卡换卡”、朋友圈刷票、劫掠个人信用贷等新型诈骗形式不断涌现，手机支付在提供了便利的同时也潜伏着巨大危险，保护个人信息和手机安全防护成为当务之急。
2957,　　猎网平台全年收到诈骗举报2万例，涉案金额1.95亿
2958,　　作为国内首个警民联合的网络诈骗信息举报平台，猎网平台面向全国网民提供电信网络诈骗举报服务，举报不设金额限制，即使被骗1元也能举报。据猎网平台发布的报告统计，2016年猎网平台共收到全国用户提交的网络诈骗举报20623例，举报总金额1.95亿余元。与2015年相比，网络诈骗的举报数量虽然下降了17.1%，但人均损失却增长了85.5%。
2959,　　虚假兼职是2016年被举报数量最多的诈骗类型，一共出现4550例虚假兼职诈骗，占比22.1%；其次是网游交易、虚假购物、金融理财、虚拟商品和身份冒充。
2960,　　以涉案金额统计，金融理财是受害者损失资金最多的诈骗类型，去年涉案金额达7411.4万元。其次是赌博博彩诈骗、涉案总金额3067.4万元，虚假兼职、身份冒充诈骗的涉案金额分列第三和第四位。
2961,　　一线城市网络诈骗受害者损失惨重
2962,　　从网络诈骗受害人群的地域分布来看，广东、山东、江苏、河南、和四川这5个省级行政区的被骗用户最多，这5个地区用户的举报数量约占到了全国用户举报总量的35.4%。广东省的被骗用户人数竟然超过第二名近一倍，达到2500多人。
2963,　　一线城市经济发达，网上购物和手机支付高度普及，遭网络诈骗造成的经济损失也更为突出。北京网民举报的诈骗损失金额达到903.2万元，深圳、上海、广州的损失金额也在500万元以上。同时，北上广深等一线城市也是网友维权意识最高的城市，对网络诈骗的举报数量排在全国前列。
2964,　　作为上网的主力军，18岁至29岁的年轻人群仍然是网络诈骗受害者最为集中的年龄段，占所有受害者的64.9%；老年人虽然受骗人数并不突出，但是受骗金额远远超过年轻人。
2965,　　专家提醒：保护短信验证码是防骗关键
2966,　　“现在智能手机的应用越来越广泛，通过手机聊天和朋友圈行骗开始成为新的趋势”，猎网平台反诈骗专家刘洋介绍，骗子一般会以优惠商品、抽奖、红包、色情等内容诱惑，或冒充公检法机关进行恐吓，欺骗受害者上钩，手机聊天群和朋友圈的风靡也使诈骗信息更快速地传播。
2967,　　刘洋提醒网友，经过猎网平台接到的网络诈骗大数据分析，未来一段时间，网络诈骗还会呈现形式多样、结合个人信息精准行骗的状态；短信验证码是网上支付的关键，已经成为犯罪分子的主攻方向，骗子甚至用运营商的补换卡业务，窃取短信验证码；短网址、分享链接也在被恶意利用，通过网址跳转将受害者带到钓鱼网站上进行诈骗，网友们应注意使用手机安全软件，对窃取短信验证码的手机木马和钓鱼网站进行拦截。
2968,　　在网络诈骗猖獗的同时，全国总动员式的反诈骗行动也不断升级，政府监管、立法、银行、运营商和网络安全等企业对电信诈骗团伙进行了全面围剿，包括ATM转账24小时到账，央行“261号文”银行开户及转账新规、最严电话实名制等一系列举措，对网络诈骗起到了有效的遏制。
2969,"　　,中新网,1月16日电  从2016年起，竞技类手游的发展速度已经快到惊动了央视。1月4日，CCTV13新闻频道《朝闻天下》栏目对《2016中国游戏产业报告》的出炉进行了报道，其中重点提到移动电竞成为游戏市场的新增长点。"
2970,　　这一风向，不仅得到手游厂商的关注和追逐，早期凭借优质内容、开拓性玩法而迅速崛起的页游厂商也注意到了这一领域，并尝试通过与手游厂商抱团合作的方式切入移动电竞细分市场。近期，知名发行厂商咸鱼游戏宣布与策略游戏大厂傲世堂再度合作，继《最佳阵容》之后，将在2017年联手推出傲世堂首款即时竞技对战手游新品。
2971,　　咸鱼游戏与傲世堂双双目标明确——强强联合，延续并升级《最佳阵容》的成功之路。据对外公布的数据显示，截至11月《最佳阵容》的累计流水就已过2亿元，咸鱼游戏在细分市场的发行能力与资源得到了业界的认可，傲世堂在产品上的创新能力始终走在行业前列，双方二度携手无疑是细分领域手游的“最佳阵容”。
2972,"　,　研发发行大厂合作 差异化下成功的偶然与必然"
2973,　　近期频频在各大媒体上露脸并屡获奖项的咸鱼游戏，背倚华谊兄弟、贵人鸟、金科娱乐三家上市公司以及包括澜亭、动域、景林在内资本助力，并拿到虎扑体育、中国大学生体育协会等战略合作的体育资源优势，构建泛体育娱乐与生态一体化闭环，旗下《最佳阵容》、《街球联盟》、《那兔之大国梦》等都是行业细分领域的标杆产品。
2974,　　傲世堂此前专注SLG产品，旗下拥有游戏包括《傲视天地》、《征战四方》、《攻城掠地》等具有革新意义的SLG页游，研发团队实力广受认可和好评。2015年的7月，咸鱼游戏宣布独代傲世堂出品的体育策略游戏《最佳阵容》。傲世堂擅长的SLG玩法被改造后充分融入到这款经典足球经理模拟经营手游中，配合咸鱼游戏基于体育类手游的发行能力，很快《最佳阵容》就成为了当时“人烟稀少”的体育手游中的典型成功案例。
2975,　　有数据显示，在2016年的一年里《最佳阵容》不仅稳居App Store体育游戏畅销榜TOP3长达数月，更创造了累积超过2亿流水、稳坐月流水2000万的优异表现。咸鱼游戏与傲世堂
2976,　　双方合作的第一局也完美收官。
2977,　　新年已至，咸鱼游戏继续选择了与傲世堂合作，拿下傲世堂研发的首款即时竞技对战手游新品。在坚持精品化策略和不忘初心的共同出发点上，两个老伙伴合理分工各自发挥所长，在手游精品化趋势下突出自己差异特色。这不仅需要完美的配合，更重要的是相互间亲密无间的信任。
2978,"　,　“最佳阵容”再现 将抱团深耕竞技手游市场"
2979,　　2016年手游的表现，从12月15日游戏工委、IDC联合发布的《2016中国游戏产业报告》中可见一斑：全年移动游戏市场销售收入总共819.2亿元，占整体市场销售收入的49.5%，同比增长59.2%，移动游戏用户数达到5.28亿。手游首次超过端游成为份额最大、增速最快的细分市场。其中值得注意的是，移动电竞收入达到171.4亿元，占比20.9%。
2980,　　嗅到其中机遇，傲世堂紧跟大流，推出首款即时对战竞技手游，争取在2017移动电竞真正的元年，迅速抢占第一批人口红利资源。虽然尚未透露出玩法和名字，但是从以往傲世堂的成绩来看，这次的新作也必将是一款颠覆性的产品，或继当前市场《炉石传说》、《王者荣耀》、《穿越火线》等几种大的移动电竞玩法后再添新丁。
2981,　　意在打造体育游戏第一品牌的咸鱼游戏也在不断为电竞发声——参与并主办了中国大学生电子竞技联赛(UCG)全国总决赛暨亚洲邀请赛，邀请若风等电竞超级明星加入UCG成为合伙人，旗下由篮球巨星韦德代言的《街球联盟》把电竞领域列入“MVP计划”中非常重要的一环，未来将覆盖粉丝、高校、业界三大领域，形成一个完整的移动电竞生态。
2982,　　事实上，《最佳阵容》在咸鱼游戏的精品发行路线下的成功，已经让咸鱼游戏与傲世堂成为业内公认的“最佳阵容”。咸鱼游戏有自己独到的眼光，对傲世堂的新品给予了充分肯定，双方坚持强强联手，共拓竞技手游细分市场。而这款即时竞技对战新品，究竟能在如今如火如荼的移动电竞市场有何表现，2017年中即将揭晓。
2983,　　微软日前宣布收购加拿大人工智能初创企业Maluuba，此次交易的具体财务条款未对外披露。作为收购交易的一部分，Maluuba顾问、蒙特利尔学习算法研究所所长约书亚·本吉奥将为微软提供顾问服务。
2984,　　Maluuba创立于2011年，总部设在加拿大蒙特利尔和滑铁卢。该公司以使用针对自然语言处理的深度学习技术为重点，拥有全球最受关注的聚焦自然语言理解的深度学习研究实验室。行业人士称，Maluuba研发的技术擅长问答及决策系统的深度学习与强化学习，这将助力微软推进普及且全民化人工智能的战略。
2985,　　据Maluuba在2016年6月发布的论文，他们推出了一款机器阅读理解系统EpiReader，这款系统在CNN和CBT两个数据集上的测试均超越了脸谱、谷歌和IBM。
2986,　　在被微软收购前，Maluuba曾进行过三轮融资，累计融资规模1100万加元。最近的一次是2016年1月融资900万加元用于进一步推进深度学习研究，投资者包括Emerillon资本和Nautilus风险合伙人公司。
2987,　　微软表示，通过这次收购，将进一步强化机器阅读和编写能力。未来数个月将公布Maluuba的整合和应用计划具体细节。（杨博）
2988,　　□本报记者 董世杰
2989,　　2017年1月1日，《中华人民共和国反恐怖主义法》(以下简称《反恐法》)已经实施整整一年，但对于这部与我们生活息息相关的法律，真正了解它的人并不多。大多数人认为，恐怖主义活动离自己的生活非常遥远，更有甚者，不清楚自己的行为已经突破了《反恐法》的底线。
2990,　　昨日，记者从石家庄市公安局获悉，在《反恐法》正式实施的一年当中，石家庄市因为在网上下载、存储、传播涉恐言论和暴恐音视频而被刑事拘留、行政拘留、罚款和教育训诫的人就达70名。同时，在现实生活中，许多网民微信抢红包后，替朋友转发违法广告，不知不觉违反了新《广告法》；在微信、微博、QQ群等社交平台上，发布、转发了虚假信息，涉嫌违反《刑法修正案(九)》。网民只要懂法，就不会“躺着中枪”。
2991,　　案例
2992,　　下载存储传播暴恐音视频被处罚
2993,　　据公安民警介绍，2016年4月，高新区王某在租住的房间内，通过互联网下载宣扬恐怖主义的斩首视频6部，观看后存储于自己的电脑中，后又上传至自己的360云盘里。高新区公安分局根据《中华人民共和国反恐怖主义法》第八十条第二项之规定，决定对王某行政拘留十五日。这也是石家庄市自《反恐法》实施以来开出的第一张“反恐罚单”。
2994,　　2016年7月份，鹿泉网民王某上网时，广西“杨某”(已被当地警方刑事拘留)与其联系，宣扬某某组织的有关内容，并向王某提供有关招募女兵、参加某某战斗等内容的图片及资料，并鼓动其加入组织，前往东南亚接受训练、参加组织战斗。王某虽然表示了拒绝，但仍将对方联系方式及“某某组织招人，肯吃苦，接受训练，包路费”等非法内容向他人转发。王某因涉嫌“宣扬恐怖主义、极端主义”已被依法刑事拘留。
2995,　　2017年元旦之前，正定网民康某利用互联网工具下载暴力恐怖视频，内容为某组织成员对俘虏进行割头斩首，场面极其血腥、暴力。经网警鉴定，均为二级暴恐音视频。经讯问，康某承认在2016年12月17日凌晨下班后出于好奇浏览下载了两部某组织肢解砍杀俘虏的视频，并保存在了自己的手机中。
2996,　　依据《中华人民共和国反恐怖主义法》第八十条第二项之规定，康某的行为构成“非法持有宣扬恐怖主义、极端主义的物品”，依法被行政拘留十日。
2997,　　网警普法
2998,　　何为暴恐音视频？市民要弄清楚
2999,　　据民警介绍，暴恐音视频包括：含有煽动某某组织等宗教极端思想，主张以暴力手段危害他人生命和公私财产安全，破坏法律实施等内容的音视频；含有传授制造、使用炸药、爆炸装置、枪支、管制器具、危险物品实施暴力恐怖犯罪方法、技能等内容的音视频；含有破坏民族团结、煽动分裂国家、破坏国家统一等内容的音视频；其他涉及暴力恐怖、宗教极端、民族分裂内容的音视频。
3000,　　《中华人民共和国反恐怖主义法》第七十九条规定：组织、策划、准备实施、实施恐怖活动，宣扬恐怖主义，煽动实施恐怖活动，非法持有宣扬恐怖主义的物品，强制他人在公共场所穿戴宣扬恐怖主义的服饰、标志，组织、领导、参加恐怖活动组织，为恐怖活动组织、恐怖活动人员、实施恐怖活动或者恐怖活动培训提供帮助的，依法追究刑事责任。
3001,　　第八十条规定：参与下列活动之一，情节轻微，尚不构成犯罪的，由公安机关处十日以上十五日以下拘留，可以并处一万元以下罚款：宣扬恐怖主义、极端主义或者煽动实施恐怖活动、极端主义活动的；制作、传播、非法持有宣扬恐怖主义、极端主义的物品的；强制他人在公共场所穿戴宣扬恐怖主义、极端主义的服饰、标志的；为宣扬恐怖主义、极端主义或者实施恐怖主义、极端主义活动提供信息、资金、物资、劳务、技术、场所等支持、协助、便利的。
3002,　　律师说法
3003,　　抢了红包帮人转发非法广告也违法
3004,　　除了上述的《反恐法》之外，现实生活中，也有许多网民转发信息，不经意间就触犯了法律。
3005,　　2016年9月，网民小梅(化名)在姐妹微信群中随手抢了一个0.2元的微信红包，对方请她帮忙转发一条化妆品的广告。小梅当时并未多想，就直接将广告转发到了微信朋友圈。过了一段时间，另一位好朋友向小梅透露，是看了她的朋友圈中的化妆品广告后，才买了这种产品，后来使用之后发现是一款三无产品，皮肤严重过敏。朋友要求小梅一并承担责任。直到这时，小梅才意识到事态的严重性。无奈之下，她花了不少钱，买了许多礼物送给这位好朋友，进行了安抚，最终才平息了虚假广告风波。
3006,　　1月13日，2017年春运正式揭开序幕，据铁道部预测，今年春运铁路继续保持递增趋势，预计发送旅客量3.56亿人次。近日，360浏览器以抢票及列车数据为样本进行分析，发布《2017年春运互联网抢票研究报告》(以下简称《报告》)，在对用户路途时长的研究中，报告分析发现，全国旅客火车返乡人均耗时达15.36小时，其中西藏、海南由于位置偏远，成为了全国路途耗时最长的省份。
3007,"　　,火车返乡人均15.36小时 往返一天半"
3008,　　从全国各省始发的车次路途时长分析，春运火车返乡路人均耗时达15.36小时，结合交通部门预测的3.56亿人次客流量计算，2017春运中国人民在铁路上的总量时长将达2.278亿天，约合62万年。不少网友纷纷吐槽春节假期太短，再加上返程时间，7天里竟有一天半的时间在路上。
3009,"　　,西藏旅客返乡平均路途时长达44.7小时"
3010,　　《报告》显示，在出发和到达省市的路途时长中，西藏均位列第一。从全国发往西藏自治区的列车平均需要44.7个小时，均远高于其他省市，而从西藏去往全国各省份的平均路途时长也高达38.9小时。
3011,　　西藏地区气候、地势等复杂，又地处高原，部分普通列车进藏尚需更换动力更为强劲的车头并在车内配备供氧设施，想要被动车高铁覆盖也便更需些时日，这也直接导致了西藏去往其他地区都需较长时间。
3012,
3013,"　　,偏远省市拉高春运返乡时间平均值"
3014,　　《报告》还对2017年春运期间路途耗时最长的城市做出排名，其中始发城市路途时长前50名中，有20个城市始发列车需要运行24小时以上。拉萨市以39.1小时位列第一，成为所有始发城市中路途运行时间最长的城市。新疆的伊利、乌鲁木齐等地旅客的平均耗时也高达36小时也上。同时，三亚也因与大陆相隔琼州海峡，路途耗时较长而上榜前五名，也处于拉低返乡人均耗时之列。
3015,　　从位置上看，这些省份大多位于我国西北部和西南部，地域偏僻，列车线路少，交通不如一线城市便利。在加上我国西部地区外出务工人员众多，更加剧了偏远地区人员的返乡难度。这些省市的旅客，只能选择从首发的省会城市一路坐到终点省会城市，再进行省内换乘。
3016,
3017,终点城市路途时长TOP50(单位：小时)
3018,　　2017年的春运正式拉开序幕，外出务工人员返乡、学生白领放假回家，各大客运站客流量不断攀升，为确保旅客的平安出行，360浏览器提醒旅客朋友一定要加强防范，增强维护自身生命财产安全意识，不给犯罪分子可乘之机，度过一个平安祥和的春节。同时，还未成功购票的旅客也不要着急，捡漏尚有机会，建议使用360手机浏览器的自动刷票功能坚持刷新余票，同时多关注目的地周边车站的车票信息，可以跨站买票，多几种车票选择，也会大大提高买票成功率。
3019,　　“农业电商的入口应该会是在农产品买卖上，特别是在产地端，通过助卖(农产品)，更能够集中农业用户。在用户规模化之后，有可能带动行业服务市场的线上化转移，最后会形成单一窗口下的高效行业流程和多重贸易的实现。”一亩田创始合伙人、研究院院长高海燕表示，一亩田现在专注(农产品)交易撮合，也在思考农业电商未来可能会呈现出的场景。
3020,"　,　从涉足交易到专注撮合，产品是第一要素"
3021,　　一亩田成立已经超过五年，在农业电商领域算是一个老兵。自2011年一亩田成立到2015年8月以前，用其自己的话讲，一亩田是一个大宗农产品交易B2B平台。之后，公司进行业务调整，最终把业务模式聚焦到农产品交易撮合上。
3022,　　一年多的蛰伏中，一亩田主要做了两件事：互联网产品和产品群。这两者是元素和集合的关系，产品属于产品群，产品群由产品构成。
3023,　　高海燕告诉亿邦动力网，2015年8月之后，一亩田开始把60%的成本放到了产品、技术、营运体系上。“从互联网本身的产品标准来看，农业电商领域欠缺好的产品，作为农业互联网公司，现在还是要回到产品为王的价值体系中。”
3024,　　目前，一亩田已经围绕着撮合这个中心，搭建了买卖信息、行情、关系、交易(指的是用户有交易意向之后的流程)、社群等产品。不同的产品可以为用户带来各自的价值，而这些产品又能够自然形成一个产品群，这是一亩田关于产品的基本逻辑。
3025,　　以行情这一产品为例。在去年的一个阶段里，一亩田的客户多数为买卖而来，但是B2B的生意注重的是“谈”这一过程，单一的产品无法长时间留住用户，自然难以形成交互。为此一亩田专门推出行情版块，并逐渐在全国构建了2.38万个信息源(行情样本)，为行业提供行情的判断和咨询。在产销两地的行情确立后，平台除了买卖商机的入口，也变成了一个行情的入口，部分用户专门为了行情而打开一亩田App。在这里面，行情不止承担了为用户买卖提供决策依据的功能，一定程度上也发挥了流量的转化作用。
3026,　　在高海燕看来，互联网产品的成熟和丰富能够自然的留住线上用户，而产品丰富后所形成的产品群，一方面可以为B端用户带来更多决策、办事的工具，增强平台黏性，推动用户的活跃度；另一方面，还具有单一窗口化这一特性，能够使用户在平台上使用工具的同时，促进买卖和贸易关系的达成。
3027,　　对于一亩田来说，虽然做的更轻了，但产品的发展也带来了用户规模的扩大。高海燕向亿邦动力网介绍到，目前一亩田移动端的用户已经达到346万(包括买家和卖家)。“发展到现阶段，我们或许可以使用覆盖率和渗透率这样词了。”
3028,"　,　撮合交易需要的标准化 除了农产品还有人"
